koi_fpflag_co,koi_time0,koi_impact,koi_duration,koi_depth,koi_srho,koi_prad,koi_sma,koi_incl,koi_teq,koi_insol,koi_dor,koi_ldm_coeff2,koi_model_snr,koi_count,koi_tce_plnt_num,koi_smet,ra,dec,koi_fwm_sdec,koi_fwm_srao,koi_fittype_ls,koi_fittype_lsmcmc,koi_fittype_mcmc,koi_disposition
0.0,2455003.539,0.146,2.9575,615.8,3.20796,2.26,0.0853,89.66,793.0,93.59,24.81,0.2291,35.8,2.0,1.0,0.14,291.93423,48.141651,48.14191,0.43,0.0,1.0,0.0,0
0.0,2455003.308,1.276,2.40641,8079.2,0.2208,33.46,0.0267,67.09,1395.0,891.96,3.278,0.2865,505.6,1.0,1.0,-0.52,285.53461,48.28521,48.2852105,-0.111,0.0,1.0,0.0,1
0.0,2455004.596,0.701,1.6545,603.3,1.98635,2.75,0.0374,85.41,1406.0,926.16,8.75,0.2844,40.9,1.0,1.0,0.07,288.75488,48.2262,48.22626,-0.01,0.0,1.0,0.0,0
0.0,2455006.622,0.052,3.5347,4914.3,3.6659,5.76,0.1158,89.92,600.0,30.75,36.85,0.1451,161.9,3.0,1.0,0.16,286.99948,48.37579,48.375778,0.033,0.0,1.0,0.0,0
0.0,2455005.484,0.804,12.2155,8918.7,0.03785,7.18,0.123,84.93,523.0,17.69,9.099,0.1908,214.7,1.0,1.0,-0.54,289.25821,47.635319,47.6353187,0.038,0.0,1.0,0.0,1
0.0,2455017.552,1.065,4.79843,74284.0,1.57359,49.29,0.1417,88.05,698.0,55.97,31.323,0.2916,2317.0,2.0,1.0,-0.22,295.81454,47.69035,47.6902759,-0.1235,0.0,1.0,0.0,1
0.0,2455013.882,0.292,9.4378,10479.0,0.19353,7.94,0.1147,88.81,595.0,29.61,14.05,0.2075,303.4,1.0,1.0,-0.2,297.15442,47.668701,47.6686305,-0.092,0.0,1.0,0.0,1
0.0,2455006.258,0.387,3.2875,1288.3,1.93557,2.47,0.0759,88.93,649.0,41.85,20.65,0.1263,87.2,1.0,1.0,-0.3,288.13824,47.724449,47.724506,-0.05,0.0,1.0,0.0,0
0.0,2455004.807,0.092,3.0278,831.0,1.73782,2.55,0.0563,89.62,919.0,168.99,13.8015,0.186,60.6,3.0,1.0,0.16,292.37613,47.880989,47.880883,-0.71,0.0,1.0,0.0,0
0.0,2455004.536,0.896,3.4555,857.2,0.60007,2.95,0.1408,87.91,530.0,18.64,24.6,0.1451,34.3,4.0,1.0,0.18,290.46512,47.92918,47.92911,0.54,0.0,1.0,0.0,0
